title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Pete,,Aguilar,,,D,CA,31,1,M,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,70114,H2CA31125,412615,N00033997,reppeteaguilar,,,reppeteaguilar,,,1979-06-19,Rep.Aguilar@opencongress.org
Rep,Brendan,,Boyle,,,D,PA,13,1,M,202-225-6111,202-226-0611,https://boyle.house.gov,,1133 Longworth House Office Building,B001296,47357,H4PA13199,412652,N00035307,CongBoyle,,,CongressmanBoyle,,,1977-02-06,Rep.Boyle@opencongress.org
Rep,Nanette,,Barragán,,,D,CA,44,1,F,202-225-8220,,https://barragan.house.gov,,1320 Longworth House Office Building,B001300,166270,H6CA44103,412687,N00037019,RepBarragan,,,CongresswomanBarragan,,,1976-09-15,Rep.Barragan@opencongress.org
Rep,Tulsi,,Gabbard,,,D,HI,2,1,F,202-225-4906,202-225-4987,https://gabbard.house.gov,,1433 Longworth House Office Building,G000571,129306,H2HI02508,412532,N00033281,TulsiPress,,http://youtube.com/tulsipress,RepTulsiGabbard,,,1981-04-12,Rep.Gabbard@opencongress.org
Rep,Ruben,,Gallego,,,D,AZ,7,1,M,202-225-4065,,https://rubengallego.house.gov,,1218 Longworth House Office Building,G000574,123732,H4AZ07043,412612,N00036097,RepRubenGallego,,,RepRubenGallego,,,1979-11-20,Rep.Rubengallego@opencongress.org
Rep,Josh,,Gottheimer,,,D,NJ,5,1,M,202-225-4465,,https://gottheimer.house.gov,,213 Cannon House Office Building,G000583,169202,H6NJ05171,412714,N00036944,RepJoshG,,,RepJoshG,,,1975-03-08,Rep.Gottheimer@opencongress.org
Rep,Jimmy,,Gomez,,,D,CA,34,1,M,202-225-6235,,https://gomez.house.gov,,1226 Longworth House Office Building,G000585,138524,H8CA34266,412739,N00040597,RepJimmyGomez,,,RepJimmyGomez,,,1974-11-25,Rep.Gomez@opencongress.org
Rep,Joseph,P.,Kennedy,III,,D,MA,4,1,M,202-225-5931,202-225-0182,https://kennedy.house.gov,,434 Cannon House Office Building,K000379,141275,H2MA04073,412543,N00034044,RepJoeKennedy,,,301936109927957,,,1980-10-04,Rep.Kennedy@opencongress.org
Rep,Ro,,Khanna,,,D,CA,17,1,M,202-225-2631,,https://khanna.house.gov,,513 Cannon House Office Building,K000389,29473,H4CA12055,412684,N00026427,RepRoKhanna,,,RepRoKhanna,,,1976-09-13,Rep.Khanna@opencongress.org
Rep,Ruben,,Kihuen,,,D,NV,4,1,M,202-225-9894,,https://kihuen.house.gov,,313 Cannon House Office Building,K000390,66851,H2NV00050,412716,N00033530,RepKihuen,,,RepKihuen,,,1980-04-25,Rep.Kihuen@opencongress.org
Rep,Grace,,Meng,,,D,NY,6,1,F,202-225-2601,202-225-1589,https://meng.house.gov,,1317 Longworth House Office Building,M001188,69157,H2NY06116,412560,N00034547,RepGraceMeng,,,repgracemeng,,,1975-10-01,Rep.Meng@opencongress.org
Rep,Seth,,Moulton,,,D,MA,6,1,M,202-225-8020,202-225-5915,https://moulton.house.gov,,1408 Longworth House Office Building,M001196,146299,H4MA06090,412632,N00035431,teammoulton,,,CongressmanSethMoulton,,,1978-10-24,Rep.Moulton@opencongress.org
Rep,Stephanie,,Murphy,,,D,FL,7,1,F,202-225-4035,,https://stephaniemurphy.house.gov,,1237 Longworth House Office Building,M001202,173426,H6FL07140,412694,N00040133,RepStephMurphy,,http://youtube.com/RepStephMurphy,RepStephMurphy,,,1978-09-16,Rep.Stephaniemurphy@opencongress.org
Rep,Jared,,Polis,,,D,CO,2,1,M,202-225-2161,202-226-7840,https://polis.house.gov,,1727 Longworth House Office Building,P000598,106220,H8CO02137,412308,N00029127,RepJaredPolis,http://www.opencongress.org/wiki/Jared_Polis,http://youtube.com/JaredPolis31275,jaredpolis,,,1975-05-12,Rep.Polis@opencongress.org
Rep,Kyrsten,,Sinema,,,D,AZ,9,1,F,202-225-9888,202-225-9731,https://sinema.house.gov,,1725 Longworth House Office Building,S001191,28338,H2AZ09019,412509,N00033983,RepSinema,,http://youtube.com/repsinema,CongresswomanSinema,,,1976-07-12,Rep.Sinema@opencongress.org
Rep,Eric,,Swalwell,,,D,CA,15,1,M,202-225-5065,,https://swalwell.house.gov,,129 Cannon House Office Building,S001193,129529,H2CA15094,412514,N00033508,RepSwalwell,,http://youtube.com/ericswalwell,CongressmanEricSwalwell,,,1980-11-16,Rep.Swalwell@opencongress.org
Rep,Darren,,Soto,,,D,FL,9,1,M,202-225-9889,,https://soto.house.gov,,1429 Longworth House Office Building,S001200,67618,H6FL09179,412695,N00037422,RepDarrenSoto,,http://youtube.com/repdarrensoto,CongressmanDarrenSoto,,,1978-02-25,Rep.Soto@opencongress.org
